epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,233.83,1.26268,0.91285,1.91297,0.80831,0.92836,0.92522,0.57515,1.30849,1.07732,2.14529,0.00143595,0.00143595,0.00143595
142,235.272,1.1958,0.96478,1.87851,0.86188,0.94444,0.96506,0.64626,1.23501,1.08393,2.07393,0.0014343,0.0014343,0.0014343
143,236.637,1.28341,0.92974,1.9997,0.93147,0.95087,0.96924,0.65069,1.13898,0.86174,1.94511,0.00143265,0.00143265,0.00143265
144,238.099,1.3425,1.00982,1.88749,0.9572,0.97222,0.99368,0.67606,1.10269,0.82862,1.94187,0.001431,0.001431,0.001431
145,239.552,1.34985,0.9788,2.03931,0.97809,0.99892,0.995,0.66618,1.21338,0.86875,2.00705,0.00142935,0.00142935,0.00142935
146,240.916,1.39931,1.19809,2.0583,0.92481,0.96495,0.98646,0.61283,1.16298,0.88741,2.01962,0.0014277,0.0014277,0.0014277
147,242.346,1.44001,0.99093,1.94429,0.92796,0.91667,0.97202,0.61957,1.11692,0.73986,1.94574,0.00142605,0.00142605,0.00142605
148,243.818,1.35904,1.39621,2.00599,0.90467,0.929,0.97999,0.61449,1.28339,0.742,2.21035,0.0014244,0.0014244,0.0014244
149,245.407,1.41515,0.99457,2.12921,0.77259,0.77778,0.8238,0.44639,1.34914,0.96351,2.36531,0.00142275,0.00142275,0.00142275
150,246.833,1.31221,1.03283,1.9678,0.9122,0.91667,0.95335,0.52955,1.36681,0.87212,2.33854,0.0014211,0.0014211,0.0014211
151,248.279,1.20606,0.95515,1.88751,0.96531,0.91506,0.9856,0.59686,1.21186,0.78939,2.06033,0.00141945,0.00141945,0.00141945
152,249.964,1.24388,0.90575,1.92604,0.9131,0.98267,0.98568,0.67513,1.18658,0.74576,2.03903,0.0014178,0.0014178,0.0014178
